Module,Connector,Pin,Module Pin,Wire Color,Goes To,Source Pin,Goes To Pin,Function / Role,Confidence,Notes,Source PDF Pages
ECM,A,1,A:1,GN-SB,6/120,6,6/120:6,Throttle body (ETB) position sensor 2 signal,HIGH,,47
ECM,A,2,A:2,GN-GR,7/156,4,7/156:4,Boost/Manifold Absolute Pressure (MAP) sensor signal,HIGH,twisted pair w/ A:3,47
ECM,A,3,A:3,GN-R,7/156,2,7/156:2,Boost/Manifold Absolute Pressure (MAP) sensor signal,HIGH,twisted pair w/ A:2,47
ECM,A,4,A:4,GR-R,7/16,1,7/16:1,Coolant temperature signal,HIGH,,47
ECM,A,5,A:5,GN-R,7/165,2,7/165:2,Intake manifold pressure signal,HIGH,,47
ECM,A,6,A:6,GN-R,7/82,2,7/82:2,O2 sensor 2 signal,HIGH,,56
ECM,A,9,A:9,W,8/18,2,8/18:2,Solenoid drive (EVAP-related),HIGH,8/18 is variable valve timing outlet per component list,56
ECM,A,13,A:13,Y-R,8/19,2,8/19:2,Evaporative emissions (EVAP) valve drive,HIGH,common to all variants on this page,56
ECM,A,14,A:14,VO-W,53/315,,53/315,Injector common return (junction),HIGH,53/315 is sensor 5V supply / injector return,47
ECM,A,15,A:15,Y-W,8/8,2,8/8:2,Injector cyl 3 drive,HIGH,,47
ECM,A,16,A:16,BN-W,8/6,2,8/6:2,Injector cyl 1 drive,HIGH,,47
ECM,A,17,A:17,GN,8/10,2,8/10:2,Injector cyl 5 drive,HIGH,,47
ECM,A,18,A:18,W,7/15,4,7/15:4,O2 sensor 1 heater +,HIGH,,56
ECM,A,19,A:19,GN-Y,6/120,2,6/120:2,Throttle body (ETB) motor drive -,HIGH,,47
ECM,A,20,A:20,BN,6/120,5,6/120:5,Throttle body (ETB) position sensor ground,HIGH,,47
ECM,A,21,A:21,GN-W,8/81,2,8/81:2,Variable Valve Timing (VVT) outlet solenoid drive,HIGH,TURBO-marked; 8/81:1 (GN-GR) goes to 53/309 power junction,56
ECM,A,22,A:22,VO-W,7/17,4,7/17:4,Mass Air Flow (MAF) sensor signal,HIGH,,47
ECM,A,23,A:23,Y,7/165,4,7/165:4,Intake manifold pressure signal,HIGH,,47
ECM,A,24,A:24,GN-R,7/15,6,7/15:6,O2 sensor 1 signal (twisted w/ A:28),HIGH,twisted with A:28; 7/15 is the O2 sensor,56
ECM,A,26,A:26,BN-SB,7/35,4,7/35:4,Oil Quality/Level/Temp (QLT) sensor ground,HIGH,,47
ECM,A,27,A:27,BL-SB,7/173,3,7/173:3,Cam sensor 2 signal,HIGH,TURBO,56
ECM,A,28,A:28,BL-SB,7/15,2,7/15:2,O2 sensor 1 heater drive (twisted w/ A:24),HIGH,,56
ECM,A,29,A:29,R,7/172,1,7/172:1,Cam sensor 1 power (via 53/375),HIGH,TURBO; 53/375 is shared power w/ 7/173:1,56
ECM,A,30,A:30,BN,20/4,1,20/4:1,Ignition coil cyl 2 trigger,HIGH,,47
ECM,A,31,A:31,BL,20/3,1,20/3:1,Ignition coil cyl 1 trigger,HIGH,user-confirmed,47
